user_id,total_logins,total_actions,total_time_spent,total_documents_created,avg_logins_per_day,avg_actions_per_day,avg_time_per_day,avg_documents_per_day,max_actions_in_day,days_active,activity_intensity,last_login_days_ago,plan_type,days_since_signup,country,churned,churn_risk_score,risk_segment
user_1,64,250,944.843628376278,51,1.28,5.0,18.896872567525563,1.02,12,50,5.0,7,free,97,BR,0,0.0057927803,Low Risk
user_2,48,233,963.726373359888,45,1.0212765957446808,4.957446808510638,20.504816454465704,0.9574468085106383,10,47,4.957446808510638,2,basic,20,BR,0,0.00538432,Low Risk
user_3,48,217,857.8922525686172,42,1.0666666666666667,4.822222222222222,19.064272279302603,0.9333333333333333,12,45,4.822222222222222,0,basic,107,BR,0,0.005465155,Low Risk
user_4,19,133,640.1875717483489,26,0.6785714285714286,4.75,22.863841848155317,0.9285714285714286,8,28,4.75,2,free,185,CA,0,0.08587939,Low Risk
user_5,29,108,595.4797888267797,17,1.2083333333333333,4.5,24.811657867782486,0.7083333333333334,12,24,4.5,3,free,93,DE,0,0.57969,Medium Risk
user_6,60,307,1400.4374627433717,67,0.8955223880597015,4.582089552238806,20.902051682736893,1.0,11,67,4.582089552238806,0,free,128,CA,0,0.081374474,Low Risk
user_7,27,124,528.0498472218701,34,1.0384615384615385,4.769230769230769,20.309609508533466,1.3076923076923077,15,26,4.769230769230769,3,basic,11,UK,0,0.119727656,Low Risk
user_8,30,123,465.47721282271317,28,1.1538461538461537,4.730769230769231,17.902969723950505,1.0769230769230769,9,26,4.730769230769231,1,premium,179,UK,0,0.021823278,Low Risk
user_9,50,272,1020.4165746332005,45,0.9433962264150944,5.132075471698113,19.25314291760756,0.8490566037735849,10,53,5.132075471698113,0,free,97,DE,0,0.007055803,Low Risk
user_10,50,328,1422.2519282152034,74,0.7352941176470589,4.823529411764706,20.91546953257652,1.088235294117647,10,68,4.823529411764706,0,premium,78,AU,0,0.006558872,Low Risk
user_11,34,164,749.6734062119467,46,0.9714285714285714,4.685714285714286,21.41924017748419,1.3142857142857143,10,35,4.685714285714286,2,free,125,CA,0,0.026300993,Low Risk
user_12,34,150,754.9818711714796,48,0.8717948717948718,3.8461538461538463,19.358509517217424,1.2307692307692308,10,39,3.8461538461538463,2,premium,112,US,1,0.33634394,Medium Risk
